imdbId,tmdbId
1,16612
3,88013
7,159895
8,105158
10,774
12,160
13,208234
14,82120
16,129436
22,127777
23,127762
27,127792
28,127764
29,122134
33,127157
41,144391
70,129865
75,104466
91,133063
131,104462
132,104460
136,414401
138,104476
192,159900
211,104700
218,114128
230,114108
235,104706
242,104704
246,49295
274,119966
299,119975
300,144432
304,179236
313,179235
355,179038
358,171430
359,49279
364,190605
399,144436
410,129863
417,775
420,41278
423,195939
437,119984
439,5698
447,44341
455,49273
465,32673
469,143801
488,105352
498,94643
499,2963
516,143634
524,144444
534,132379
546,94702
553,139246
554,134750
565,189595
567,137757
574,20105
614,150396
628,132394
682,85221
832,49270
833,36874
840,131085
852,258830
854,194066
938,163233
942,127105
1032,20650
1062,118943
1091,194069
1105,77133
1223,2929
1265,189586
1284,341903
1388,194021
1431,189584
1439,193964
1463,53759
1499,191091
1527,90056
1593,190856
1594,190857
1660,193959
1737,100247
1740,130450
1789,190883
2082,193899
2101,71266
2113,114146
2130,70512
2197,193838
2233,193823
2260,128973
2350,193902
2357,192301
2381,42553
2391,128671
2415,191068
2461,46758
2544,205504
2646,179835
2795,116857
2844,56508
2985,191427
3014,147622
3016,127017
3037,56511
3165,56516
3419,28627
3471,96128
3489,133123
3615,138921
3643,28196
3662,125673
3733,53384
3740,5153
3758,33300
3772,92349
3805,22870
3863,22879
3923,53390
3930,56512
3934,22938
3952,56515
3973,110803
4008,100246
4011,53400
4066,147621
4091,53371
4099,62935
4100,53397
4101,53392
4102,53401
4134,151085
4150,199989
4181,98078
4189,22885
4194,53385
4210,22892
4277,53374
4282,53387
4284,22936
4286,56181
4288,53368
4390,174102
4395,22941
4413,151086
4457,74827
4465,36821
4546,53393
4555,362481
4635,161710
4693,53394
4707,22943
4712,227077
4873,87300
4936,53410
4972,618
5044,53406
5059,415021
5060,109632
5074,43678
5078,70368
5084,118580
5149,208517
5198,133213
5339,38730
5529,174593
5542,53405
5557,134144
5571,50775
5622,139238
5810,53403
5812,53412
5960,86081
6032,53411
6145,174187
6177,30982
6206,29082
6333,30266
6405,42970
6414,53419
6511,174569
6517,120664
6548,2079
6589,118576
6668,141868
6684,53417
6688,151003
6689,53416
6731,174594
6745,126925
6753,200324
6761,282009
6780,84772
6809,172443
6826,112485
6864,3059
6886,56801
6895,134155
7003,142423
7047,172445
7108,52035
7145,53418
7162,2078
7183,174588
7194,53414
7264,2077
7338,342831
7340,141923
7361,174598
7476,53421
7507,13707
7558,148357
7610,344339
7613,31819
7755,87589
7819,38691
7832,53420
7880,47650
8112,38824
8133,47653
8259,189333
8279,222131
8309,128049
8329,400749
8395,47190
8442,209231
8443,95866
8498,226597
8499,36822
8523,51355
8536,227506
8550,286437
8634,157903
8663,108017
8710,206390
8775,135275
8827,136842
8874,45838
8879,70800
8891,71271
8930,551046
8950,174928
8975,51471
9018,36208
9026,553355
9062,48214
9123,38791
9369,54242
9440,174925
9611,53423
9652,70753
9796,117024
9878,44441
9893,48591
9899,38531
9915,258002
9932,53516
9937,70806
9968,899
9976,174946
9996,146744
10040,70801
10057,53425
10060,151831
10071,70803
10112,174942
10146,42362
10155,51472
10195,175005
10208,174958
10247,28526
10267,143277
10281,48263
10307,70804
10323,234
10418,53761
10466,278093
10598,149983
10600,48256
10726,91893
10747,53424
10806,36106
10821,28629
10879,72497
10962,55644
11000,35075
11071,38705
11130,3016
11144,40575
11157,82576
11193,32683
11237,2972
11293,53519
11294,175317
11348,3015
11358,111747
11362,133643
11370,116991
11387,71065
11401,335450
11439,42657
11508,51358
11521,44409
11541,23282
11548,175297
11565,27509
11607,62982
11652,51392
11656,51357
11723,92332
11742,55646
11833,175503
11837,115515
11841,31509
11865,53766
11870,77621
11904,28249
11908,225503
11909,53772
11948,175483
11960,55648
11979,155953
11984,50704
11999,23310
12027,139176
12068,175346
12123,175362
12125,395448
12136,300769
12190,31432
12224,51360
12253,38812
12255,51359
12278,46510
12281,131366
12304,42510
12320,162749
12349,10098
12364,58129
12397,175330
12408,175334
12465,130275
12486,54198
12494,29267
12499,44405
12512,53518
12532,42511
12543,25770
12570,51362
12620,105715
12645,175339
12675,36841
12752,82731
12763,71436
12769,175440
12806,175472
12881,282266
12938,53231
12945,37360
12952,95134
13025,38742
13055,38787
13059,157856
13075,42366
13086,5998
13099,51366
13134,130064
13140,35227
13149,154482
13158,51364
13201,22592
13257,57283
13323,106109
13341,81443
13367,171432
13372,166472
13386,114324
13402,175502
13422,38830
13427,669
13442,653
13472,175587
13496,28480
13501,175597
13556,71066
13571,96951
13579,84956
13597,53800
13626,49452
13662,71067
13674,130062
13688,75804
13690,175518
13741,94344
